date	BCAA_T	FREI_T	KOREA_T
1999-02-23	4.0	2.875	3.975
1999-02-24	3.3125	2.575	3.8
1999-02-25	3.1999999999999997	2.175	3.7
1999-03-18	3.875	2.575	3.4
1999-03-19	2.9749999999999996	2.2	3.75
1999-03-20	3.325	2.625	3.825
1999-03-21	2.625	1.85	2.625
1999-04-10	2.925	2.15	2.8
1999-04-11	1.6749999999999998	0.625	2.025
1999-04-12	2.625	1.625	2.8
1999-04-13	1.8250000000000002	1.15	1.45
1999-04-27	2.3125	1.6	2.375
1999-04-28	1.8	1.175	1.75
1999-04-29	1.4	0.8	1.375
1999-04-30	1.6125	0.8999999999999999	2.2
1999-05-01	2.225	1.075	3.2
1999-05-20	1.7	1.15	2.425
1999-05-21	1.125	0.39999999999999997	2.025
1999-05-22	0.55	-0.02500000000000001	0.8500000000000001
1999-06-09	1.125	0.9750000000000001	1.225
1999-06-10	0.9750000000000001	0.55	0.775
1999-06-11	-0.275	-0.5750000000000001	0.45
1999-06-12	1.125	0.575	1.775
1999-06-13	0.3875	0.15	1.125
1999-07-08	-0.3	-0.325	0.42500000000000004
1999-07-09	0.7000000000000001	0.22499999999999998	1.85
1999-07-10	-0.4	-0.7	-0.15000000000000002
1999-09-20	0.0	-0.95	0.42499999999999993
1999-09-21	0.6125	-0.525	1.4500000000000002
1999-09-22	0.35	-0.1	0.45
1999-11-12	0.575	-0.15	1.275
1999-11-13	1.375	0.875	2.55
1999-11-14	0.8250000000000001	0.525	1.825
1999-11-17	1.275	0.975	1.35
1999-11-18	1.325	1.0	1.25
1999-11-19	1.275	1.0	1.925
1999-12-24	2.225	1.2	2.95
1999-12-25	2.625	1.9	2.675
1999-12-26	2.7750000000000004	2.175	4.0
1999-12-27	3.45	2.575	3.35
1999-12-28	2.65	2.05	2.875
2003-01-12	2.8	2.0	3.4000000000000004
2003-01-13	3.6500000000000004	2.6999999999999997	4.75
2003-01-14	3.3499999999999996	2.525	3.525
2003-07-14	-0.6	-0.725	-0.44999999999999996
2003-07-15	-1.025	-1.375	-0.5750000000000001
2003-07-16	-0.9	-1.275	-0.5
2003-07-17	0.7	0.22499999999999998	1.525
2003-07-18	0.625	0.42500000000000004	0.375
2003-07-19	-0.3	-0.625	-0.47500000000000003
2003-07-29	-0.375	-0.5	-0.22499999999999998
2003-07-30	-0.45	-0.675	-0.625
2003-07-31	-0.575	-0.75	-0.8
2003-08-01	-0.625	-0.65	-0.47500000000000003
2003-08-06	-0.75	-0.875	-0.7
2003-08-07	0.06249999999999998	-0.175	1.55
2003-08-08	-0.14999999999999997	-0.475	0.0
2003-08-09	0.8500000000000001	0.875	0.6000000000000001
2003-08-10	-0.5	-0.55	-0.625
2003-08-11	-0.6000000000000001	-0.775	-0.6
2003-08-15	0.725	0.525	0.275
2003-08-16	0.0	-0.05	-0.049999999999999975
2003-08-17	-0.6	-0.675	-0.49999999999999994
2003-08-27	-0.7	-0.7749999999999999	-0.75
2003-08-28	-0.375	-0.5249999999999999	-0.575
2003-08-29	0.55	-0.175	0.49999999999999994
2003-08-30	0.2	0.075	0.325
2003-08-31	-0.2	-0.325	-0.45
2003-09-01	-0.5750000000000001	-0.55	-0.725
2003-09-02	-0.09999999999999998	-0.4	0.85
2003-09-17	0.725	0.02500000000000001	0.6
2003-09-18	0.325	-0.12499999999999999	0.675
2003-09-19	0.10000000000000002	-0.45	0.7749999999999999
2003-09-20	0.04999999999999999	-0.55	0.8749999999999999
2003-09-21	-0.33749999999999997	-0.4	0.125
2003-09-22	0.75	0.425	1.1
2003-09-23	-0.0875	-0.44999999999999996	0.275
2003-09-24	-0.35	-0.9	-0.42500000000000004
2003-09-25	1.025	0.725	1.325
2003-09-26	0.625	-0.09999999999999999	1.375
2003-09-27	1.175	-0.2	0.7
2004-03-31	2.7	1.7750000000000001	4.125
2004-04-01	2.6500000000000004	1.9	2.725
2004-04-02	3.7	2.85	4.7
2004-04-03	2.85	2.425	3.525
2004-06-01	0.75	0.1	1.775
2004-06-02	0.9	0.375	0.975
2004-06-03	1.05	0.5	1.35
2004-06-04	1.375	0.7500000000000001	1.4249999999999998
2004-06-05	0.625	0.125	0.7250000000000001
2004-07-17	-0.47500000000000003	-1.1	-0.85
2004-07-18	-0.775	-0.75	-0.5249999999999999
2004-07-19	0.575	0.35000000000000003	1.325
2004-07-20	0.9375	0.45	1.2
2004-07-21	-0.125	-0.525	0.45
2004-07-22	-0.275	-0.8	0.65
2004-07-23	-0.425	-0.5	-0.025000000000000022
2004-11-17	0.9624999999999999	0.625	1.175
2004-11-18	1.6124999999999998	0.775	2.35
2004-11-19	0.975	0.575	0.875
2004-11-20	1.125	0.2	2.125
2004-12-09	1.75	1.175	1.875
2004-12-10	1.85	0.525	1.9
2004-12-11	2.025	0.7749999999999999	1.375
2005-02-09	3.4	2.85	3.3
2005-02-10	3.4375	2.9000000000000004	4.0
2005-02-11	3.25	3.25	3.05
2005-02-12	3.075	3.2	2.5
2005-08-08	-0.6124999999999999	-0.725	-0.9500000000000001
2005-08-09	-0.625	-0.625	-0.875
2005-08-10	-0.5625	-0.7250000000000001	-0.675
